round,state,lga,settlements,u5,missed_u5_round,covered_u5_round,coverage_round,missed_rate
1,Jigawa,Auyo,283,29019,8753,20266,0.6983700334263758,0.3016299665736242
1,Jigawa,Babura,590,68811,23251,45560,0.6621034427635116,0.33789655723648837
1,Jigawa,Birnin Kudu,741,84417,29315,55102,0.6527358233531161,0.3472641766468839
1,Jigawa,Birniwa,810,39308,17440,21868,0.5563244123333673,0.44367558766663273
1,Jigawa,Buji,341,29635,13379,16256,0.548540577020415,0.45145942297958497
1,Jigawa,Dutse,709,66651,25641,41010,0.6152945942296439,0.38470540577035606
1,Jigawa,Gagarawa,299,33992,10706,23286,0.6850435396563898,0.31495646034361025
1,Jigawa,Garki,447,45753,7135,38618,0.8440539418180228,0.15594605818197713
1,Jigawa,Gumel,258,26081,8719,17362,0.665695333767877,0.334304666232123
1,Jigawa,Guri,484,25926,9824,16102,0.6210753683560905,0.3789246316439096
1,Jigawa,Gwaram,658,96879,44071,52808,0.5450923316714664,0.4549076683285335
1,Jigawa,Gwiwa,383,29849,6004,23845,0.7988542329726289,0.2011457670273711
1,Jigawa,Hadejia,127,35609,17410,18199,0.5110786598893539,0.4889213401106462
1,Jigawa,Jahun,852,53868,18613,35255,0.6544701863815252,0.3455298136184748
1,Jigawa,Kafin Hausa,898,50409,17216,33193,0.6584736852546172,0.34152631474538275
1,Jigawa,Kaugama,375,38848,14470,24378,0.6275226523887973,0.37247734761120266
1,Jigawa,Kazaure,324,50145,18592,31553,0.6292352178681823,0.37076478213181774
1,Jigawa,Kiri Kasama,513,41652,16237,25415,0.6101747815230961,0.3898252184769039
1,Jigawa,Kiyawa,744,47390,17203,30187,0.6369909263557713,0.36300907364422874
1,Jigawa,Maigatari,356,34408,10109,24299,0.7062020460358056,0.2937979539641944
1,Jigawa,Malam Madori,508,35915,15728,20187,0.5620771265487957,0.43792287345120423
1,Jigawa,Miga,396,35585,13558,22027,0.6189967683012505,0.3810032316987495
1,Jigawa,Ringim,472,61143,24497,36646,0.5993490669414324,0.40065093305856764
1,Jigawa,Roni,295,64903,15811,49092,0.7563903055328721,0.24360969446712788
1,Jigawa,Sule Tankarkar,699,47801,17037,30764,0.6435848622413757,0.3564151377586243
1,Jigawa,Taura,296,45522,14643,30879,0.6783313562672993,0.32166864373270065
1,Jigawa,Yankwashi,259,17748,4861,12887,0.7261099842235745,0.2738900157764255
1,Kano,Ajingi,406,41271,18620,22651,0.5488357442271813,0.4511642557728187
1,Kano,Albasu,760,43495,13827,29668,0.6821013909644786,0.3178986090355213
1,Kano,Bagwai,633,45911,15615,30296,0.6598854305068502,0.3401145694931498
1,Kano,Bebeji,870,49261,19995,29266,0.5941008099713769,0.40589919002862307
1,Kano,Bichi,871,67793,22677,45116,0.6654964376853068,0.33450356231469325
1,Kano,Bunkure,622,37446,11849,25597,0.6835710089195107,0.3164289910804892
1,Kano,Dala,1203,39358,8979,30379,0.7718634076934804,0.22813659230651964
1,Kano,Dambatta,744,51181,17515,33666,0.6577831617201696,0.3422168382798304
1,Kano,Dawakin Kudu,854,62046,20670,41376,0.6668600715598104,0.3331399284401895
1,Kano,Dawakin Tofa,1062,54684,16174,38510,0.7042279277302319,0.29577207226976815
1,Kano,Doguwa,828,52337,17688,34649,0.6620364178305979,0.33796358216940214
1,Kano,Fagge,928,48454,10643,37811,0.7803483716514632,0.21965162834853674
1,Kano,Gabasawa,870,43901,15905,27996,0.6377075693036605,0.3622924306963395
1,Kano,Garko,611,37590,13170,24420,0.6496408619313647,0.3503591380686353
1,Kano,Garum Mallam,524,29702,8302,21400,0.7204902026799542,0.27950979732004577
1,Kano,Gaya,875,38112,15065,23047,0.6047176742233418,0.3952823257766583
1,Kano,Gezawa,793,58005,18689,39316,0.6778036376174468,0.3221963623825532
1,Kano,Gwale,1198,70170,24310,45860,0.6535556505629186,0.34644434943708136
1,Kano,Gwarzo,725,51625,19030,32595,0.6313801452784503,0.3686198547215496
1,Kano,Kabo,456,34194,8795,25399,0.7427911329473007,0.2572088670526993
1,Kano,Kano Municipal,901,22240,4203,18037,0.8110161870503597,0.18898381294964028
1,Kano,Karaye,536,47854,20578,27276,0.5699837004221173,0.43001629957788273
1,Kano,Kibiya,593,37994,13861,24133,0.6351792388271832,0.36482076117281675
1,Kano,Kiru,741,65039,24805,40234,0.6186134473162257,0.38138655268377436
1,Kano,Kumbotso,2379,65409,22685,42724,0.6531822837835772,0.3468177162164228
1,Kano,Kunchi,161,26914,9873,17041,0.6331648955933715,0.36683510440662853
1,Kano,Kura,438,33025,14520,18505,0.560333080999243,0.439666919000757
1,Kano,Madobi,937,57164,17230,39934,0.698586522986495,0.301413477013505
1,Kano,Makoda,191,28177,9703,18474,0.6556411257408524,0.3443588742591475
1,Kano,Minjibir,915,60297,22874,37423,0.6206444765079523,0.3793555234920477
1,Kano,Nassarawa,1654,70341,21610,48731,0.6927823033508196,0.3072176966491804
1,Kano,Rano,504,33938,14629,19309,0.5689492604160528,0.4310507395839472
1,Kano,Rimin Gado,170,20634,5941,14693,0.7120771542114956,0.2879228457885044
1,Kano,Rogo,1036,44167,15839,28328,0.6413838386125388,0.3586161613874612
1,Kano,Shanono,453,35073,8410,26663,0.7602144099449719,0.23978559005502809
1,Kano,Sumaila,931,44190,17701,26489,0.5994342611450555,0.40056573885494456
1,Kano,Takai,679,36240,12870,23370,0.6448675496688742,0.35513245033112584
1,Kano,Tarauni,1030,38389,7565,30824,0.8029383417124697,0.19706165828753028
1,Kano,Tofa,440,26869,10604,16265,0.6053444489932636,0.3946555510067364
1,Kano,Tsanyawa,376,36552,11397,25155,0.6881976362442548,0.3118023637557452
1,Kano,Tudun Wada,644,55622,20153,35469,0.6376793355147244,0.3623206644852756
1,Kano,Ungogo,2515,106115,37418,68697,0.6473825566602271,0.3526174433397729
1,Kano,Warawa,611,36143,13908,22235,0.6151951968569295,0.3848048031430706
1,Kano,Wudil,536,45593,23637,21956,0.4815651525453469,0.5184348474546532
1,Katsina,Bakori,978,76063,25590,50473,0.6635683578086586,0.33643164219134136
1,Katsina,Batagarawa,376,50012,24036,25976,0.5193953451171719,0.4806046548828281
1,Katsina,Batsari,643,51740,23502,28238,0.5457672980286046,0.4542327019713954
1,Katsina,Baure,536,59990,24352,35638,0.5940656776129355,0.4059343223870645
1,Katsina,Bindawa,480,48296,20748,27548,0.5703992049030976,0.4296007950969024
1,Katsina,Charanchi,301,46938,22112,24826,0.5289104776513699,0.4710895223486301
1,Katsina,Dan Musa,475,45182,19347,25835,0.5717985038289585,0.4282014961710416
1,Katsina,Dandume,599,69858,24772,45086,0.6453949440293166,0.35460505597068337
1,Katsina,Danja,718,66207,33882,32325,0.488241424622774,0.511758575377226
1,Katsina,Daura,373,32797,12529,20268,0.6179833521358661,0.3820166478641339
1,Katsina,Dutsi,456,34700,13947,20753,0.5980691642651297,0.4019308357348703
1,Katsina,Dutsin Ma,904,66644,25769,40875,0.6133335334013564,0.38666646659864357
1,Katsina,Faskari,509,35487,10979,24508,0.6906190999520951,0.30938090004790486
1,Katsina,Funtua,849,129995,61625,68370,0.5259433055117505,0.47405669448824955
1,Katsina,Ingawa,490,49198,19110,30088,0.6115695759990244,0.38843042400097566
1,Katsina,Jibia,681,47995,19862,28133,0.5861652255443275,0.41383477445567246
1,Katsina,Kafur,613,71246,26540,44706,0.627487858967521,0.37251214103247904
1,Katsina,Kaita,338,53907,16370,37537,0.6963288626708962,0.30367113732910384
1,Katsina,Kankara,752,44621,17748,26873,0.6022500616301741,0.39774993836982586
1,Katsina,Kankia,603,55356,22446,32910,0.594515499674832,0.40548450032516803
1,Katsina,Katsina,1515,88119,33891,54228,0.6153950907295815,0.3846049092704184
